author,traitName,mappedGenes
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),"EEF1A1P27,ITGB8"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),"CYP4F44P,HSPA8P13"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),DEPTOR
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),LCP1
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),APOE
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),LINC02790
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),MECOM
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),"RAI14-DT,GUSBP18"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),LCP1
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),CMTM5
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),APOE
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),OPA3
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),CNN3-DT
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),LINC02790
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),XIRP2
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),SAMMSON
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),GDF9
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),"STMN4,MIR548H4"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),"LINC00052,NTRK3"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),EFCAB3
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),"CLDN17,GRIK1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),"RRAGC,HSPA5P1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),VAV3-AS1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),SAMMSON
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),MECOM
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),LINC00550
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),SNX29
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),"KCNG4,ADAD2"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),EFCAB3
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),ZNF558
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2),"SIGLEC22P,CD33"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),QKI
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),"PAK1,CLNS1A"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),"GPATCH2L,ESRRB"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),KRBOX5
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),"CLDN17,GRIK1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),"RRAGC,HSPA5P1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),VAV3-AS1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),CADPS
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),SAMMSON
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),MECOM
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),LINC01994
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),ZBTB16
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),VDAC1P12
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),LINC00550
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),SNX29
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),"KCNG4,ADAD2"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),AKAP1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),EFCAB3
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),ZNF558
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),"CLDN17,GRIK1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),"VN1R9P,CECR7"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),CCT3
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"NIHCOLE,NUDT12"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),MTMR14
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),"RNU6-699P,RNU1-63P"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"LINC02103,PURPL"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),TMEM132C
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"ZNF101P1,U3"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 1),"MTMR2,RPL32P25"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"BICD1-AS1,RESF1"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1),RAB31
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"CST2P1,CST4"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"ARFGEF3,SMIM28"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"CYP4F44P,HSPA8P13"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),DEPTOR
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"SLC46A2,MUPP"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"LINC00708,PRPF38AP1"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),SCN8A
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),LCP1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"RNA5SP178,FBXL7"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),CACNA1E
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),ZBTB16
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),LINC00550
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),SNX29
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"KCNG4,ADAD2"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"TLL1,LINC01179"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),"LINC01682,HMGB1P26"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),"FLNB,PPIAP16"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),MECOM
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),"RNU6-943P,OR10A6"
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"LINC02834,RNU2-36P"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 1),COP1
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"PAK1,CLNS1A"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 1),SYT16
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),SNAPC2
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1),CELSR1
Wang P,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),"CLDN17,GRIK1"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),VAV3-AS1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"NDUFA10,LINC02991"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),CADPS
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),SAMMSON
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),MECOM
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),LINC01994
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),APOE
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"PAK1,CLNS1A"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),NELFA
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),ZFYVE28
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"LINC02360,HS3ST1"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),"JADRR,LINC02615"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),AKAP1
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),EFCAB3
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),ZNF558
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"SIGLEC22P,CD33"
Wang P,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1),"CLDN17,GRIK1"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2),"SATB2-AS1,LINC01877"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2),"LINC02822,LINC02392"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2),UNC13A
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2),"APOE,APOC1"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2),TMEM184B
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),COP1
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),"LINC01121,SRBD1"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),SRBD1
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),SUSD5
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),"RN7SKP277,CYCSP19"
Wang P,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),"UNC13A,MAP1S"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),LINC01647
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),CACNA1E
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),"JADRR,LINC02615"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),"TLL1,LINC01179"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),"TTC33,RNU1-150P"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),"NIHCOLE,NUDT12"
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),MIR548A1HG
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),DEPTOR
Wang P,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),"LINC00708,PRPF38AP1"
Jun GR,Alzheimer's disease,"PFDN1,HBEGF"
Jun GR,Alzheimer's disease,"ECHDC3,USP6NL-AS1"
Jun GR,Alzheimer's disease,"TSPOAP1-AS1,MIR142HG"
Jun GR,Alzheimer's disease,NECTIN2
Jun GR,Alzheimer's disease,NECTIN2
Jun GR,Alzheimer's disease,"APOE,APOC1"
Jun GR,Alzheimer's disease,NECTIN2
Jun GR,Alzheimer's disease,NECTIN2
Jun GR,Alzheimer's disease,"ECHDC3,USP6NL-AS1"
Jun GR,Alzheimer's disease (APOE e4 interaction),NFIC
Jun GR,Alzheimer's disease in APOE e4- carriers,"PFDN1,HBEGF"
Jun GR,Alzheimer's disease in APOE e4- carriers,"USP6NL-AS1,ECHDC3"
Jun GR,Alzheimer's disease in APOE e4- carriers,"TSPOAP1-AS1,MIR142HG"
Tosto G,Alzheimer's disease (late onset),FBXL7
Tosto G,Alzheimer's disease (late onset),CACNA2D3
Tosto G,Alzheimer's disease (late onset),TOMM40
Bellenguez C,Alzheimer's disease,KLF16
Bellenguez C,Alzheimer's disease,SIGLEC11
Bellenguez C,Alzheimer's disease,"LILRB2,RNU6-1307P"
Bellenguez C,Alzheimer's disease,RBCK1
Bellenguez C,Alzheimer's disease,CASS4
Bellenguez C,Alzheimer's disease,SLC2A4RG
Bellenguez C,Alzheimer's disease,APP
Bellenguez C,Alzheimer's disease,"ADAMTS1,CYYR1"
Bellenguez C,Alzheimer's disease,"DEDD,UFC1"
Bellenguez C,Alzheimer's disease,"QKILA,SETD7"
Bellenguez C,Alzheimer's disease,NDUFAF6
Bellenguez C,Alzheimer's disease,ATP8B4
Bellenguez C,Alzheimer's disease,"TNFSF12-TNFSF13,TNFSF13"
Bellenguez C,Alzheimer's disease,ARHGAP45
Bellenguez C,Alzheimer's disease,SLC24A4
Bellenguez C,Alzheimer's disease,"IGHG1,IGHG3"
Bellenguez C,Alzheimer's disease,"IGHV3-65,IGHV3-64"
Bellenguez C,Alzheimer's disease,"RN7SL354P,SPPL2A"
Bellenguez C,Alzheimer's disease,MINDY2-DT
Bellenguez C,Alzheimer's disease,APH1B
Bellenguez C,Alzheimer's disease,SNX1
Bellenguez C,Alzheimer's disease,CTSH
Bellenguez C,Alzheimer's disease,DOC2A
Bellenguez C,Alzheimer's disease,BCKDK
Bellenguez C,Alzheimer's disease,IL34
Bellenguez C,Alzheimer's disease,"MAF,RNA5SP431"
Bellenguez C,Alzheimer's disease,PLCG2
Bellenguez C,Alzheimer's disease,FAM157C
Bellenguez C,Alzheimer's disease,WDR81
Bellenguez C,Alzheimer's disease,"SCIMP,ZNF594-DT"
Bellenguez C,Alzheimer's disease,MYO15A
Bellenguez C,Alzheimer's disease,GRN
Bellenguez C,Alzheimer's disease,WNT3
Bellenguez C,Alzheimer's disease,ABI3
Bellenguez C,Alzheimer's disease,TSPOAP1-AS1
Bellenguez C,Alzheimer's disease,"CYB561,PPIAP55"
Bellenguez C,Alzheimer's disease,ABCA7
Bellenguez C,Alzheimer's disease,PLCG2
Bellenguez C,Alzheimer's disease,"FENDRR,LINC00917"
Bellenguez C,Alzheimer's disease,NCK2
Bellenguez C,Alzheimer's disease,"NIFKP9,BIN1"
Bellenguez C,Alzheimer's disease,WDR12
Bellenguez C,Alzheimer's disease,INPP5D
Bellenguez C,Alzheimer's disease,PTK2B
Bellenguez C,Alzheimer's disease,CLU
Bellenguez C,Alzheimer's disease,RHOH
Bellenguez C,Alzheimer's disease,ABCA1
Bellenguez C,Alzheimer's disease,"ECHDC3,USP6NL-AS1"
Bellenguez C,Alzheimer's disease,"ANK3,LINC01553"
Bellenguez C,Alzheimer's disease,"HLA-DQA1,HLA-DRB1"
Bellenguez C,Alzheimer's disease,BLNK
Bellenguez C,Alzheimer's disease,TREM2
Bellenguez C,Alzheimer's disease,TREM2
Bellenguez C,Alzheimer's disease,"TREML2,TREM2"
Bellenguez C,Alzheimer's disease,CD2AP
Bellenguez C,Alzheimer's disease,"HS3ST5,HDAC2-AS2"
Bellenguez C,Alzheimer's disease,UMAD1
Bellenguez C,Alzheimer's disease,SORL1
Bellenguez C,Alzheimer's disease,TPCN1
Bellenguez C,Alzheimer's disease,FERMT2
Bellenguez C,Alzheimer's disease,SLC24A4
Bellenguez C,Alzheimer's disease,MME
Bellenguez C,Alzheimer's disease,MME
Bellenguez C,Alzheimer's disease,IDUA
Bellenguez C,Alzheimer's disease,"MIR572,LINC02498"
Bellenguez C,Alzheimer's disease,SHARPIN
Bellenguez C,Alzheimer's disease,ANKH
Bellenguez C,Alzheimer's disease,"MIR4280HG,LINC02059"
Bellenguez C,Alzheimer's disease,TNIP1
Bellenguez C,Alzheimer's disease,RASGEF1C
Bellenguez C,Alzheimer's disease,TSPAN14
Bellenguez C,Alzheimer's disease,"UNC5CL,OARD1"
Bellenguez C,Alzheimer's disease,PLEKHA1
Bellenguez C,Alzheimer's disease,SPI1
Bellenguez C,Alzheimer's disease,MS4A4A
Bellenguez C,Alzheimer's disease,"RNU6-560P,LINC02695"
Bellenguez C,Alzheimer's disease,SORL1
Bellenguez C,Alzheimer's disease,JAZF1
Bellenguez C,Alzheimer's disease,"NME8,GPR141"
Bellenguez C,Alzheimer's disease,"EGFR,SEC61G-DT"
Bellenguez C,Alzheimer's disease,"YWHAQ,ADAM17"
Bellenguez C,Alzheimer's disease,PRKD3
Bellenguez C,Alzheimer's disease,SORT1
Bellenguez C,Alzheimer's disease,"CR1,CR1-AS1"
Bellenguez C,Alzheimer's disease,PMS2P1
Bellenguez C,Alzheimer's disease,EPHA1-AS1
Bellenguez C,Alzheimer's disease,CTSB
Bellenguez C,Alzheimer's disease,ICA1
Bellenguez C,Alzheimer's disease,TMEM106B
Koskeridis F,Alzheimer's disease (MTAG),"HSPG2,CELA3B"
Koskeridis F,Alzheimer's disease (MTAG),CR1
Koskeridis F,Alzheimer's disease (MTAG),"BIN1,NIFKP9"
Koskeridis F,Alzheimer's disease (MTAG),PILRA
Koskeridis F,Alzheimer's disease (MTAG),CLU
Koskeridis F,Alzheimer's disease (MTAG),PLEC
Koskeridis F,Alzheimer's disease (MTAG),MS4A4A
Koskeridis F,Alzheimer's disease (MTAG),"LINC02695,RNU6-560P"
Koskeridis F,Alzheimer's disease (MTAG),CEACAM20
Koskeridis F,Alzheimer's disease (MTAG),CEACAM22P
Koskeridis F,Alzheimer's disease (MTAG),"PVR,CEACAM16-AS1"
Koskeridis F,Alzheimer's disease (MTAG),"CEACAM19,PVR,CEACAM16-AS1"
Koskeridis F,Alzheimer's disease (MTAG),CEACAM16-AS1
Koskeridis F,Alzheimer's disease (MTAG),CEACAM16-AS1
Koskeridis F,Alzheimer's disease (MTAG),"CEACAM16-AS1,BCL3"
Koskeridis F,Alzheimer's disease (MTAG),BCL3
Koskeridis F,Alzheimer's disease (MTAG),BCAM
Koskeridis F,Alzheimer's disease (MTAG),BCAM
Koskeridis F,Alzheimer's disease (MTAG),"BCAM,NECTIN2"
Koskeridis F,Alzheimer's disease (MTAG),"BCAM,NECTIN2"
Koskeridis F,Alzheimer's disease (MTAG),"NECTIN2,BCAM"
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),TOMM40
Koskeridis F,Alzheimer's disease (MTAG),TOMM40
Koskeridis F,Alzheimer's disease (MTAG),"APOE,APOC1"
Koskeridis F,Alzheimer's disease (MTAG),"APOC1,APOE"
Koskeridis F,Alzheimer's disease (MTAG),RELB
Koskeridis F,Alzheimer's disease (MTAG),RELB
Koskeridis F,Alzheimer's disease (MTAG),RELB
Koskeridis F,Alzheimer's disease (MTAG),CLASRP
Koskeridis F,Alzheimer's disease (MTAG),CLASRP
Koskeridis F,Alzheimer's disease (MTAG),CLASRP
Koskeridis F,Alzheimer's disease (MTAG),GEMIN7-AS1
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,PPP1R37"
Koskeridis F,Alzheimer's disease (MTAG),"NKPD1,MARK4"
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,BLOC1S3"
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,BLOC1S3"
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,EXOC3L2"
Koskeridis F,Alzheimer's disease (MTAG),BCAM
Koskeridis F,Alzheimer's disease (MTAG),"BCAM,NECTIN2"
Koskeridis F,Alzheimer's disease (MTAG),"BCAM,NECTIN2"
Koskeridis F,Alzheimer's disease (MTAG),"NECTIN2,BCAM"
Koskeridis F,Alzheimer's disease (MTAG),"BCAM,NECTIN2"
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),NECTIN2
Koskeridis F,Alzheimer's disease (MTAG),TOMM40
Koskeridis F,Alzheimer's disease (MTAG),TOMM40
Koskeridis F,Alzheimer's disease (MTAG),TOMM40
Koskeridis F,Alzheimer's disease (MTAG),"APOE,APOC1"
Koskeridis F,Alzheimer's disease (MTAG),"APOE,APOC1"
Koskeridis F,Alzheimer's disease (MTAG),"APOE,APOC1"
Koskeridis F,Alzheimer's disease (MTAG),CLPTM1
Koskeridis F,Alzheimer's disease (MTAG),RELB
Koskeridis F,Alzheimer's disease (MTAG),CLASRP
Koskeridis F,Alzheimer's disease (MTAG),GEMIN7-AS1
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,PPP1R37"
Koskeridis F,Alzheimer's disease (MTAG),"NKPD1,MARK4"
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,BLOC1S3"
Koskeridis F,Alzheimer's disease (MTAG),"MARK4,BLOC1S3"
Koskeridis F,Alzheimer's disease (MTAG),"EXOC3L2,MARK4"
Koskeridis F,Alzheimer's disease (MTAG),CASS4
Koskeridis F,Alzheimer's disease (MTAG),CR1
Koskeridis F,Alzheimer's disease (MTAG),LINC01808
Koskeridis F,Alzheimer's disease (MTAG),"LINC01808,CISD1P1"
Koskeridis F,Alzheimer's disease (MTAG),"BIN1,NIFKP9"
Koskeridis F,Alzheimer's disease (MTAG),NBEAL1
Koskeridis F,Alzheimer's disease (MTAG),ULK4
Koskeridis F,Alzheimer's disease (MTAG),"KRT18P16,LINC01170"
Koskeridis F,Alzheimer's disease (MTAG),PTK2B
Koskeridis F,Alzheimer's disease (MTAG),CLU
Koskeridis F,Alzheimer's disease (MTAG),SPI1
Koskeridis F,Alzheimer's disease (MTAG),MS4A4A
Koskeridis F,Alzheimer's disease (MTAG),PICALM
Koskeridis F,Alzheimer's disease (MTAG),SORL1
Koskeridis F,Alzheimer's disease (MTAG),ADAM10
Koskeridis F,Alzheimer's disease (MTAG),APH1B
Koskeridis F,Alzheimer's disease (MTAG),ZNF652-AS1
Koskeridis F,Alzheimer's disease (MTAG),ACTN4
Koskeridis F,Alzheimer's disease (MTAG),CEACAM20
Koskeridis F,Alzheimer's disease (MTAG),CEACAM22P
Koskeridis F,Alzheimer's disease (MTAG),"CEACAM16-AS1,PVR"
Koskeridis F,Alzheimer's disease (MTAG),"CEACAM19,PVR,CEACAM16-AS1"
Koskeridis F,Alzheimer's disease (MTAG),CEACAM16-AS1
Koskeridis F,Alzheimer's disease (MTAG),"CEACAM16-AS1,BCL3"
Koskeridis F,Alzheimer's disease (MTAG),BCL3
Koskeridis F,Alzheimer's disease (MTAG),CBLC
Akgun B,Alzheimer's disease,SLC38A1
Akgun B,Alzheimer's disease,APOE
Hou J,Late-onset Alzheimer's disease in high risk polygenic risk score,MS4A4A
Hou J,Late-onset Alzheimer's disease in high risk polygenic risk score,HLA-DQA1
Chung J,Alzheimer's disease in APOE e4- carriers,"BIN1,NIFKP9"
Chung J,Alzheimer's disease in APOE e4- carriers,MGMT
Chung J,Alzheimer's disease in APOE e4- carriers,"ABCA7,CNN2"
Chung J,Alzheimer's disease in APOE e4- carriers,"APOC1,APOE"
Chung J,Alzheimer's disease,"RPLP0P5,RPL7AP81"
Chung J,Alzheimer's disease,"SYNPR,SYNPR-AS1"
Chung J,Alzheimer's disease,BFSP2
Chung J,Alzheimer's disease,LEF1-AS1
Chung J,Alzheimer's disease,TENM2
Chung J,Alzheimer's disease,SDK1
Chung J,Alzheimer's disease,MIOS-DT
Chung J,Alzheimer's disease,"LINC02838,GDI2P1"
Chung J,Alzheimer's disease,DENND3
Chung J,Alzheimer's disease,MGMT
Chung J,Alzheimer's disease,"Y_RNA,MIR378C"
Chung J,Alzheimer's disease,"CST6,CATSPER1"
Chung J,Alzheimer's disease,"MTMR2,RPL32P25"
Chung J,Alzheimer's disease,NTF3
Chung J,Alzheimer's disease,PRICKLE1
Chung J,Alzheimer's disease,"NOC4L,LINC02361"
Chung J,Alzheimer's disease,"SNORD27,IPPKP1"
Chung J,Alzheimer's disease,"DIO2,DIO2-AS1"
Chung J,Alzheimer's disease,"SEZ6L2,CDIPTOSP"
Chung J,Alzheimer's disease,NXN
Chung J,Alzheimer's disease,MYO1C
Chung J,Alzheimer's disease,"LINC00470,AIDAP3"
Lake J,Alzheimer's disease,ADAMTS4
Lake J,Alzheimer's disease,CTSB
Lake J,Alzheimer's disease,"YWHAQ,ADAM17"
Lake J,Alzheimer's disease,CLU
Lake J,Alzheimer's disease,"NIFKP9,BIN1"
Lake J,Alzheimer's disease,ABCA1
Lake J,Alzheimer's disease,INPP5D
Lake J,Alzheimer's disease,"ANK3,LINC01553"
Lake J,Alzheimer's disease,TRANK1
Lake J,Alzheimer's disease,BLNK
Lake J,Alzheimer's disease,"LINC02498,MIR572"
Lake J,Alzheimer's disease,"RAPSN,PSMC3"
Lake J,Alzheimer's disease,"MIR4280HG,LINC02059"
Lake J,Alzheimer's disease,"LINC02695,RNU6-560P"
Lake J,Alzheimer's disease,RASGEF1C
Lake J,Alzheimer's disease,"HLA-DQA1,HLA-DRB1"
Lake J,Alzheimer's disease,FERMT2
Lake J,Alzheimer's disease,SLC24A4
Lake J,Alzheimer's disease,"IGHEP1,IGHG1"
Lake J,Alzheimer's disease,"IGHV3-65,IGHV3-64"
Lake J,Alzheimer's disease,ICA1
Lake J,Alzheimer's disease,APH1B
Lake J,Alzheimer's disease,JAZF1
Lake J,Alzheimer's disease,"SEC61G-DT,EGFR"
Lake J,Alzheimer's disease,DOC2A
Lake J,Alzheimer's disease,EPHA1-AS1
Lake J,Alzheimer's disease,"CR1,CR1-AS1"
Lake J,Alzheimer's disease,PTK2B
Lake J,Alzheimer's disease,PRKD3
Lake J,Alzheimer's disease,SPATC1
Lake J,Alzheimer's disease,ICA1L
Lake J,Alzheimer's disease,"ECHDC3,USP6NL-AS1"
Lake J,Alzheimer's disease,"VWA5B2,ABCF3"
Lake J,Alzheimer's disease,TSPAN14
Lake J,Alzheimer's disease,"IDUA,SLC26A1"
Lake J,Alzheimer's disease,PLEKHA1
Lake J,Alzheimer's disease,RHOH
Lake J,Alzheimer's disease,MS4A6A
Lake J,Alzheimer's disease,TNIP1
Lake J,Alzheimer's disease,SORL1
Lake J,Alzheimer's disease,TPCN1
Lake J,Alzheimer's disease,TREML2
Lake J,Alzheimer's disease,CD2AP
Lake J,Alzheimer's disease,HDAC2-AS2
Lake J,Alzheimer's disease,UMAD1
Lake J,Alzheimer's disease,MINDY2-DT
